Titre du poste,Entreprise,Ville,Secteur,Contrat proposé,Niveau d'étude,Expérience,Compétences Techniques,Langues,Soft Skills,Lien de l'offre
First Plastics recrute 3 ingénieurs technico-commerciaux à Casablanca,First Plastics,Casablanca,Non spécifié,CDI,Bac+5,Non spécifié,Excel,Non specifié,"Autonomie, Communication, Initiative, Relationnel",https://www.dreamjob.ma/emploi/first-plastics-recrute-3-ingenieurs-technico-commerciaux-a-casablanca/
SEGULA Technologies recrute des ingénieurs SLI à Casablanca,SEGULA Technologies,Casablanca,"Automobile, Aéronautique, Ferroviaire, Énergie",Non spécifié,Non spécifié,Non spécifié,AMDEC,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi/segula-technologies-recrute-des-ingenieurs-sli-a-casablanca/
Ingénieurs automobile – Bertrandt recrute dès maintenant,Ingénieurs automobile – Bertrandt,Non spécifié,"Automobile, Aéronautique, Logistique",Non spécifié,Bac+5,Non spécifié,CATIA,Anglais,"Autonomie, Communication, Organisation, Rigueur",https://www.dreamjob.ma/emploi/ingenieurs-automobile-bertrandt-recrute-des-maintenant/
SCIF recrute – opportunités en maintenance et ingénierie,SCIF,Non spécifié,Construction,Non spécifié,Bac+5,5 ans,"Autocad, Excel, Ms project",Non specifié,"Communication, Gestion de projet, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/scif-recrute-opportunites-en-maintenance-et-ingenierie/
Akwel El Jadida recrute des ingénieurs en production et maintenance,Akwel El Jadida,El Jadida,"Automobile, Logistique",CDI,Non spécifié,Non spécifié,Non spécifié,Non specifié,Organisation,https://www.dreamjob.ma/emploi/akwel-el-jadida-recrute-des-ingenieurs-en-production-et-maintenance/
SEGULA Technologies lance un recrutement pour concepteurs mécaniques,Non spécifié,Casablanca,"Automobile, Aéronautique, Ferroviaire, Énergie",Non spécifié,Non spécifié,2 à 3 ans,"CAO, CATIA, Conception mécanique, Modélisation",Anglais,"Communication, Innovation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/segula-technologies-lance-un-recrutement-pour-concepteurs-mecaniques/
"La CAC recrute ingénieurs, comptables, chefs de projet et plus !",La CAC,Casablanca,Automobile,CDI,"Bac+2, bac+3, bac+5",70 ans,Non spécifié,Non specifié,"Communication, Gestion de projet, Innovation",https://www.dreamjob.ma/emploi/la-cac-recrute-ingenieurs-comptables-chefs-de-projet-et-plus/
Mint HR recrute un(e) Chargé(e) de Recrutement (CDI) – Casablanca,Mint HR,Casablanca,Non spécifié,CDI,"Bac+3, bac+5",Non spécifié,Non spécifié,Non specifié,"Autonomie, Communication, Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/mint-hr-recrute-une-chargee-de-recrutement-cdi-casablanca/
Magasin d’Optique recrute une Vendeuse (Wifak Témara),Magasin d’Optique,Témara,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Autonome, Communication, Organisation, Organisé, Proactivité, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/optique-recrute-une-vendeuse-sur-wifak-temara/
"Solevio recrute des Vendeurs Conventionnels CHR (Cafés, Hôtels, Restaurants) (Casablanca)",Solevio,Casablanca,Agroalimentaire,Non spécifié,Bac+2,3 ans,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi/solevio-recrute-vendeurs-conventionnels-chr-casablanca/
Grande campagne de recrutement Calliope: plusieurs postes à saisir partout au Maroc,Non spécifié,Non spécifié,"Automobile, Logistique",Stage,"Bac+2, bac+3, bac+4, bac+5",3 à 5 ans,Excel,"Français, Anglais, Arabe","Autonomie, Communication, Créativité, Gestion de projet, Initiative, Innovation, Leadership, Organisation, Relationnel, Rigueur, Réactivité, Travailler en équipe",https://www.dreamjob.ma/emploi/grande-campagne-de-recrutement-calliope-plusieurs-postes-a-saisir-partout-au-maroc/
Recrutement d’un Responsable des Opérations (Rabat),Non spécifié,Rabat,Non spécifié,CDI,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/recrutement-dun-responsable-des-operations-rabat/
Juriste Junior,Non spécifié,Non spécifié,Non spécifié,CDI,Bac+5,Non spécifié,Non spécifié,"Français, Anglais","Communication, Organisation, Rigueur",https://www.dreamjob.ma/stage/minthr-recrute-juriste-junior-stage-casablanca/
ADM Value agrandit ses équipes à Rabat: découvrez nos offres en télévente et conseil,Non spécifié,Rabat,"Automobile, Énergie",CDI,Non spécifié,20 ans,Non spécifié,Français,"Autonomie, Communication, Organisation, Relationnel, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/adm-value-recrute-plusieurs-profils/
Fondation Arrawaj recrute Plusieurs Profils (Tout le Maroc),Fondation Arrawaj,Non spécifié,Non spécifié,CDI,Bac+3,30 ans,Non spécifié,Non specifié,"Autonomie, Communication, Initiative, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/fondation-arrawaj-recrute-plusieurs-profils-tout-le-maroc/
Société de Construction Routière recrute un Responsable Matériel BTP à Salé,Société de Construction Routière,Salé,"Btp, Construction, Logistique",Non spécifié,Bac+5,5 ans,Non spécifié,Non specifié,Organisation,https://www.dreamjob.ma/emploi/societe-de-construction-routiere-recrute-un-responsable-materiel-btp-a-sale/
Université Euromed de Fès recrute 16 nouveaux profils,Université Euromed de Fès,Fès,"Chimie, Recherche scientifique",Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,Innovation,https://www.dreamjob.ma/emploi/universite-euromed-de-fes-recrute-16-nouveaux-profils/
Recrutement de Rédacteurs Web Freelance en Télétravail,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Français, Anglais",Flexibilité,https://www.dreamjob.ma/emploi/start-up-recrute-des-redacteurs-web-freelance-en-teletravail/
"Mubea Maroc recrute techniciens, ingénieurs et plus – postulez dès aujourd’hui !",Mubea Maroc,Tanger,"Automobile, Procédés",CDI,Non spécifié,1 à 2 ans,Robotique,Non specifié,"Autonomie, Innovation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/mubea-maroc-recrute-techniciens-ingenieurs-et-plus-postulez-des-aujourdhui/
Sulimet ouvre des opportunités pour ingénieurs et RH expérimentés,Sulimet,Tanger,Automobile,Non spécifié,Non spécifié,28 ans,Conception mécanique,Anglais,"Communication, Gestion de projet, Organisé",https://www.dreamjob.ma/emploi/sulimet-ouvre-des-opportunites-pour-ingenieurs-et-rh-experimentes/
Claes Médical Service recrute des techniciens et ingénieurs en biomédical à Bouskoura,Claes Médical Service,Bouskoura,Non spécifié,CDI,Non spécifié,35 an,Non spécifié,Non specifié,Résolution de problèmes,https://www.dreamjob.ma/emploi/claes-medical-service-recrute-des-techniciens-et-ingenieurs-en-biomedical-a-bouskoura/
"Ingénieurs, commerciaux, responsables maintenance… plusieurs postes ouverts chez Sonasid",Non spécifié,Non spécifié,Construction,CDI,"Bac+4, bac+5",50 ans,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi/ingenieurs-commerciaux-responsables-maintenance-plusieurs-postes-ouverts-chez-sonasid/
SEGULA Technologies recrute à Casablanca: des ingénieurs recherchés,SEGULA Technologies,Casablanca,"Automobile, Aéronautique, Ferroviaire",CDI,Non spécifié,3 ans,AMDEC,Non specifié,Innovation,https://www.dreamjob.ma/emploi/segula-technologies-recrute-a-casablanca-des-ingenieurs-recherches/
Rejoignez Akkodis: offres en conception mécanique industrielle à pourvoir,Non spécifié,Non spécifié,"Automobile, Aéronautique, Énergie",Non spécifié,Non spécifié,2 ans,"CATIA, Conception mécanique, Robotique",Français,"Autonomie, Innovation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/rejoignez-akkodis-offres-en-conception-mecanique-industrielle-a-pourvoir/
SEBN Maroc recrute des Responsables Ingénierie de Produit,SEBN Maroc,Non spécifié,Automobile,Non spécifié,Non spécifié,5 ans,Non spécifié,"Français, Anglais","Innovation, Rigueur",https://www.dreamjob.ma/emploi/sebn-maroc-recrute-des-responsables-ingenierie-de-produit/
CAPEP recrute des ingénieurs débutants pour des postes d’Acheteurs,CAPEP,Non spécifié,"Btp, Logistique",Non spécifié,Bac+5,Non spécifié,Non spécifié,Non specifié,Organisation,https://www.dreamjob.ma/emploi/capep-recrute-des-ingenieurs-debutants-pour-des-postes-dacheteurs/
Ingénieur ou expert digital ? RMA vous ouvre ses portes à Casablanca,Ingénieur ou expert digital ? RMA vous,Casablanca,Non spécifié,Non spécifié,Bac+5,3 à 5 ans,Non spécifié,Non specifié,"Communication, Innovation, Rigueur",https://www.dreamjob.ma/emploi/ingenieur-ou-expert-digital-rma-vous-ouvre-ses-portes-a-casablanca/
"JESA lance une vaste campagne de recrutement: Architecte, Ingénieur, Manager…",Non spécifié,Non spécifié,"Construction, Logistique",Non spécifié,"Bac+2, bac+4",10 ans,Non spécifié,Non specifié,Gestion de projet,https://www.dreamjob.ma/emploi/jesa-lance-une-vaste-campagne-de-recrutement-architecte-ingenieur-manager/
Delta Holding recrute des Ingénieurs Juniors dans 10 spécialités,Delta Holding,Non spécifié,"Logistique, Métallurgie, Procédés, Énergie",Stage,Non spécifié,40 ans,Non spécifié,Non specifié,"Autonomie, Communication, Innovation, Rigueur",https://www.dreamjob.ma/emploi/delta-holding-recrute-des-ingenieurs-juniors-dans-10-specialites/
SMT recrute des Ingénieurs Technico-Commerciaux au Maroc,SMT,Non spécifié,"Btp, Construction",Non spécifié,"Bac+3, bac+5",Non spécifié,Non spécifié,Non specifié,"Innovation, Proactivité",https://www.dreamjob.ma/emploi/smt-recrute-des-ingenieurs-technico-commerciaux-au-maroc/
SEGULA Technologies recrute des concepteurs mécaniques à Casablanca,SEGULA Technologies,Casablanca,"Automobile, Aéronautique, Ferroviaire, Énergie",Non spécifié,Non spécifié,2 à 3 ans,"CATIA, Conception mécanique, Modélisation",Anglais,"Communication, Créativité, Innovation",https://www.dreamjob.ma/emploi/segula-technologies-recrute-des-concepteurs-mecaniques-a-casablanca/
Offres d’emploi chez SEGULA: techniciens en mécanique recherchés,Non spécifié,Tanger,"Automobile, Aéronautique, Ferroviaire, Énergie",Non spécifié,"Bac+2, bac+3",Non spécifié,Non spécifié,Français,"Innovation, Rigueur",https://www.dreamjob.ma/emploi/offres-demploi-chez-segula-techniciens-en-mecanique-recherches-2/
"Sonasid embauche: ingénieurs, managers et responsables maintenance",Non spécifié,Jorf Lasfar,"Btp, Construction",Non spécifié,"Bac+4, bac+5",50 ans,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi/sonasid-embauche-ingenieurs-managers-et-responsables-maintenance/
Aptiv Maroc recrute: ingénieurs et techniciens pour l’industrie automobile,Aptiv Maroc,Non spécifié,"Automobile, Procédés",Non spécifié,"Bac+2, bac+5",1 an,"Automatisme, Robotique","Français, Anglais","Communication, Gestion de projet, Innovation, Leadership, Résolution de problèmes",https://www.dreamjob.ma/emploi/aptiv-maroc-recrute-ingenieurs-et-techniciens-pour-lindustrie-automobile/
Rejoignez un leader industriel: LafargeHolcim Maroc recrute plusieurs ingénieurs,Rejoignez un leader industriel: LafargeHolcim Maroc,Non spécifié,Construction,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Innovation, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/rejoignez-un-leader-industriel-lafargeholcim-maroc-recrute-plusieurs-ingenieurs/
"Safran Maroc recrute: acheteur, technicien et ingénieur à Casablanca et Rabat",Safran Maroc,Casablanca,"Automobile, Aéronautique",Non spécifié,Bac+5,7 ans,"CATIA, ERP, Excel, Modélisation, Python, RDM, VBA","Français, Anglais","Adaptabilité, Autonomie, Communication, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/safran-maroc-recrute-acheteur-technicien-et-ingenieur-a-casablanca-et-rabat/
BTP CONSULTING recrute à Tétouan: 11 postes d’ingénieurs à pourvoir,BTP CONSULTING,Tétouan,"Btp, Procédés",CDI,Non spécifié,2 ans,Autocad,Non specifié,Autonome,https://www.dreamjob.ma/emploi/btp-consulting-recrute-a-tetouan-11-postes-dingenieurs-a-pourvoir/
CIMAT vous ouvre ses portes: offres pour jeunes ingénieurs à pourvoir,CIMAT vous,Non spécifié,"Construction, Logistique, Procédés",Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Autonomie, Créativité, Innovation, Organisation, Rigueur, Résolution de problèmes",https://www.dreamjob.ma/emploi/cimat-vous-ouvre-ses-portes-offres-pour-jeunes-ingenieurs-a-pourvoir/
Mint HR recrute un(e) Chargé(e) de Recrutement (CDI) – Casablanca,Mint HR,Casablanca,Non spécifié,CDI,"Bac+3, bac+5",Non spécifié,Non spécifié,Non specifié,"Autonomie, Communication, Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/mint-hr-recrute-une-chargee-de-recrutement-cdi-casablanca/
Magasin d’Optique recrute une Vendeuse (Wifak Témara),Magasin d’Optique,Témara,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Autonome, Communication, Organisation, Organisé, Proactivité, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/optique-recrute-une-vendeuse-sur-wifak-temara/
"Solevio recrute des Vendeurs Conventionnels CHR (Cafés, Hôtels, Restaurants) (Casablanca)",Solevio,Casablanca,Agroalimentaire,Non spécifié,Bac+2,3 ans,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi/solevio-recrute-vendeurs-conventionnels-chr-casablanca/
Grande campagne de recrutement Calliope: plusieurs postes à saisir partout au Maroc,Non spécifié,Non spécifié,"Automobile, Logistique",Stage,"Bac+2, bac+3, bac+4, bac+5",3 à 5 ans,Excel,"Français, Anglais, Arabe","Autonomie, Communication, Créativité, Gestion de projet, Initiative, Innovation, Leadership, Organisation, Relationnel, Rigueur, Réactivité, Travailler en équipe",https://www.dreamjob.ma/emploi/grande-campagne-de-recrutement-calliope-plusieurs-postes-a-saisir-partout-au-maroc/
