Titre du poste,Entreprise,Ville,Secteur d'activité,Contrat proposé,Niveau d'étude,Expérience,Compétences techniques,Langues,Soft skills,Lien de l'offre
Ingénieur Maintenance Matériels roulants,Aya Gold & Silver,Taliouine - askaoun,Extraction / Mines,CDI,Bac +5,1 à 3 ans,"GMAO, AMDEC, Lean, Excel",Non spécifié,"Communication, esprit d'équipe, autonomie, rigueur, organisation, résolution de problèmes, force de proposition, sens de l'organisation, réactivité, esprit d'analyse",https://www.rekrute.com/fr/offre-emploi-ingenieur-maintenance-materiels-roulants-recrutement-aya-gold-silver-taliouine---askaoun-183125.html
Responsable Procédés Spéciaux,Structural Aerospace Morocco (AVIAGROUP),Nouaceur,Aéronautique / Spatial,CDI,Bac +5,3 à 5 ans,"ERP, Excel",Anglais,"Rigueur, organisation, innovation",https://www.rekrute.com/fr/offre-emploi-responsable-procedes-speciaux-recrutement-structural-aerospace-morocco-aviagroup-nouaceur-183090.html
Responsable UAP,Safran Nacelles,Casablanca,Aéronautique / Spatial,CDI,Bac +5,5 à 10 ans,"SAP, Excel","Français, Anglais","Communication, travail en équipe, autonomie, autonome, rigueur, organisation, créativité, innovation, flexibilité",https://www.rekrute.com/fr/offre-emploi-responsable-uap-recrutement-safran-nacelles-casablanca-183009.html
Danone Operation Future Leaders Program,Centrale Danone,Non spécifié,Agroalimentaire,CDI,Bac +5,0 an,Non spécifié,Anglais,"Travailler en équipe, rigueur, organisation, créativité, leadership, innovation, relationnel",https://www.rekrute.com/fr/offre-emploi-danone-operation-future-leaders-program-recrutement-centrale-danone-maroc-182937.html
Ingénieur (e) Conception & Rétroconception,CID,Casablanca,BTP / Génie Civil,CDI,Bac +5,5 à 10 ans,"CATIA, Creo, NX, CAO, AMDEC, APQP, PPAP",Non spécifié,"Autonomie, rigueur, organisation",https://www.rekrute.com/fr/offre-emploi-ingenieur-e-conception-retroconception-recrutement-cid-casablanca-182882.html
Stage PFE  Qualité,Pratt & Whitney,Nouaceur,Aéronautique / Spatial,Stage,Bac +5,0 an,Excel,Non spécifié,"Travail en équipe, travailler en équipe, rigueur, organisation, créativité, innovation, initiative",https://www.rekrute.com/fr/offre-emploi-stage-pfe-qualite-recrutement-pratt-whitney-nouaceur-182874.html
Technicien Chargé des pistes (H/F),Sorec,Marrakech,BTP / Génie Civil,CDI,Bac +2,0 an,Excel,Non spécifié,"Organisation, innovation, relationnel, initiative",https://www.rekrute.com/fr/offre-emploi-technicien-charge-des-pistes-hf-recrutement-sorec-marrakech-182819.html
Stage Libre – Profil Technique (CATIA),Capgemini Engineering,Casablanca,Electro-mécanique / Mécanique,Stage,Bac +3,0 an,"CATIA, Modélisation, ERP",Non spécifié,"Communication, travailler en équipe, rigueur, organisation, créativité, innovation, initiative",https://www.rekrute.com/fr/offre-emploi-stage-libre-profil-technique-catia-recrutement-capgemini-engineering-casablanca-182754.html
Ingénieur CAD Conception (H/F) – Textile,Domino HR Morocco,Tanger,Textile / Cuir,CDI,Bac +5,3 à 5 ans,Non spécifié,"Français, Anglais","Communication, rigueur, organisation, initiative, réactivité",https://www.rekrute.com/fr/offre-emploi-ingenieur-cad-conception-hf-textile-recrutement-domino-hr-morocco-tanger-182753.html
Chef d'Atelier Mécanique et Diagnotic,Groupe Smeia,Casablanca,Automobile / Motos / Cycles,CDI,Bac +5,3 à 5 ans,Excel,Non spécifié,"Rigueur, organisation, créativité, innovation, initiative",https://www.rekrute.com/fr/offre-emploi-chef-datelier-mecanique-et-diagnotic-recrutement-groupe-smeia-casablanca-182648.html
Chef de Service Après-Vente et Magasin Pièces de Rechange,Groupe Smeia,Oujda,Automobile / Motos / Cycles,CDI,Bac +5,5 à 10 ans,Excel,Non spécifié,"Travail en équipe, rigueur, organisation, créativité, innovation, initiative, réactivité",https://www.rekrute.com/fr/offre-emploi-chef-de-service-apres-vente-et-magasin-pieces-de-rechange-recrutement-groupe-smeia-oujda-182646.html
"Production, maintenance, qualité (6) Apply Production, maintenance, qualité filter",Tectra Casa Tertiaire – Recrutement,Non spécifié,"Automobile, Aéronautique, Métallurgie, Btp, Construction, Énergie, Agroalimentaire, Naval, Chimie, Plasturgie, Logistique, Pharmaceutique, Procédés",CDI,Bac+5,0 an,"Communication, Électromécanique, Génie Électrique, Maintenance, Maintenance Industrielle, Production, Qualité, Techniques de Maintenance","Français, Anglais, Arabe","Communication, Communiquer, Organisation, Gestion de projet, Flexibilité",https://www.emploi.ma/recherche-jobs-maroc/g%C3%A9nie%20m%C3%A9canique?f%5B0%5D=im_field_offre_metiers%3A37
Chargé de Maintenance et Entretien (mécanique),Tectra Casa Tertiaire – Recrutement,Casablanca,Btp,CDI,Bac+5,0 an,"Communication, Électromécanique, Génie Électrique, Maintenance, Maintenance Industrielle, Production, Qualité, Techniques de Maintenance",Non spécifié,Communication,https://www.emploi.ma/offre-emploi-maroc/charge-maintenance-entretien-mecanique-casablanca-9367962
Technicien de Maintenance Industrielle H/F,Crit Tanger,Kénitra,Non spécifié,Intérim,Bac+2,2 à 5 ans,"Automatisme, Câblage, Électricité Industrielle, Électromécanique, Génie Mécanique, Gestion de la Maintenance, Maintenance, Maintenance Industrielle, Production, Production Industrielle, Qualité",Non spécifié,Non spécifié,https://www.emploi.ma/offre-emploi-maroc/technicien-maintenance-industrielle-hf-kenitra-9436802
Responsable Maintenance,Non spécifié,Mohammedia,Construction,CDI,Bac+5,2 à 5 ans,"Électromécanique, Électrotechnique, Génie Électromécanique, Génie Industriel, Gestion, Maintenance, Production, Qualité",Non spécifié,Non spécifié,https://www.emploi.ma/offre-emploi-maroc/responsable-maintenance-mohammedia-9028210
Ingénieur Spécialisé en Instrumentation et Systèmes de Contrôle,Expert Eye Engineering,Casablanca,Btp,CDI,Bac+5,Non spécifié,"API, BTP, Génie Électrique, Instrumentation",Non spécifié,Non spécifié,https://www.emploi.ma/offre-emploi-maroc/ingenieur-specialise-instrumentation-systemes-controle-casablanca-9378294
Ingénieur Process (H/F),Expert Eye Engineering,Casablanca,"Btp, Énergie",CDI,Bac+5,Non spécifié,"BTP, Dimensionnement, Énergie, HAZOP, Instrumentation, Tuyauterie",Non spécifié,Flexibilité,https://www.emploi.ma/offre-emploi-maroc/ingenieur-process-hf-casablanca-9378291
SIDEN cherche 4 ingénieurs en génie mécanique,SIDEN,Jorf lasfar,Construction,CDI,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Communication, Rigueur",https://www.dreamjob.ma/emploi/siden-cherche-4-ingenieurs-en-genie-mecanique/
SCIF recrute des Ingénieurs Génie Mécanique,SCIF,Casablanca,Ferroviaire,Non spécifié,Non spécifié,Non spécifié,"CAO, Lean",Non specifié,"Communication, Gestion de projet, Résolution de problèmes",https://www.dreamjob.ma/emploi/scif-recrute-des-ingenieurs-genie-mecanique/
Chantiers et Ateliers du Maroc recrute des Techniciens en Génie Mécanique,Chantiers et Ateliers du Maroc,Casablanca,Naval,Non spécifié,Non spécifié,1 ans,"Autocad, Ms project",Non specifié,Non spécifié,https://www.dreamjob.ma/emploi/chantiers-et-ateliers-du-maroc-recrute-des-techniciens-en-genie-mecanique/
Safran Recrute des Ingénieurs en Mécanique et Aéronautique F/H,Safran,Casablanca,"Automobile, Aéronautique",Stage,Non spécifié,Non spécifié,"ANSYS, Abaqus, Autocad, CATIA, ICEM, NASTRAN, Patran, SAMCEF, SAP, SOLIDWORKS",Non specifié,Communication,https://www.dreamjob.ma/emploi/safran-recrute-des-ingenieurs-en-mecanique-et-aeronautique-f-h/
Safran recherche activement des Ingénieurs Mécaniques et Aéronautiques,Non spécifié,Casablanca,"Automobile, Aéronautique",Stage,Non spécifié,Non spécifié,"ANSYS, Abaqus, Autocad, CATIA, ICEM, NASTRAN, Patran, SAMCEF, SAP, SOLIDWORKS",Non specifié,Communication,https://www.dreamjob.ma/emploi/safran-recherche-activement-des-ingenieurs-mecaniques-et-aeronautiques/
NTC recrute des Ingénieurs Conception Mécanique,NTC,Casablanca,Non spécifié,Non spécifié,Non spécifié,3 ans,Conception mécanique,Non specifié,"Communication, Polyvalence, Proactivité",https://www.dreamjob.ma/emploi/ntc-recrute-ingenieurs-conception-mecanique/
Safran recrute des Ingénieurs Mécanique,Safran,Casablanca,"Automobile, Aéronautique",Stage,Non spécifié,Non spécifié,"ANSYS, Abaqus, Autocad, CATIA, ICEM, NASTRAN, Patran, SAMCEF, SAP, SOLIDWORKS",Non specifié,Communication,https://www.dreamjob.ma/emploi/safran-recrute-des-ingenieurs-mecanique/
Akkodis recrute des Ingénieurs Mécanique Juniors,Akkodis,Casablanca,Automobile,CDI,Bac+5,Non spécifié,Robotique,Anglais,"Autonomie, Communication, Initiative, Innovation, Rigueur",https://www.dreamjob.ma/emploi/akkodis-recrute-ingenieurs-mecanique/
Expleo Group recrute des Ingénieurs Mécanique sur Tanger,Expleo Group,Tanger,Automobile,Non spécifié,Non spécifié,4 ans,CATIA,Non specifié,Autonome,https://www.dreamjob.ma/emploi/expleo-group-recrute-des-ingenieurs-mecanique/
SEGULA Technologies recrute des Ingénieurs Mécanique Débutants,SEGULA Technologies,Agadir,"Automobile, Aéronautique, Ferroviaire, Naval, Énergie",Non spécifié,Bac+5,2 ans,"CAO, CATIA, DAO","Français, Anglais",Innovation,https://www.dreamjob.ma/emploi/segula-technologies-des-ingenieurs-mecanique-debutants/
SNCE recrute un Ingénieur Travaux et un Technicien GC,SNCE,Non spécifié,Non spécifié,CDI,Bac+3,2 à 5 ans,Non spécifié,Non specifié,"Organisation, Rigueur",https://www.dreamjob.ma/emploi/snce-recrute-un-ingenieur-travaux-et-un-technicien-gc/
Mint HR recrute un(e) Chargé(e) de Recrutement (CDI) – Casablanca,Mint HR,Casablanca,Non spécifié,CDI,Bac+3,Non spécifié,Non spécifié,Non specifié,"Autonomie, Communication, Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/mint-hr-recrute-une-chargee-de-recrutement-cdi-casablanca/
"Solevio recrute des Vendeurs Conventionnels CHR (Cafés, Hôtels, Restaurants) (Casablanca)",Solevio,Casablanca,Agroalimentaire,Non spécifié,Bac+2,3 ans,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi/solevio-recrute-vendeurs-conventionnels-chr-casablanca/
Grande campagne de recrutement Calliope: plusieurs postes à saisir partout au Maroc,Non spécifié,Non spécifié,"Automobile, Logistique",Stage,Bac+2,3 à 5 ans,Excel,"Français, Anglais, Arabe","Autonomie, Communication, Créativité, Gestion de projet, Initiative, Innovation, Leadership, Organisation, Relationnel, Rigueur, Réactivité, Travailler en équipe",https://www.dreamjob.ma/emploi/grande-campagne-de-recrutement-calliope-plusieurs-postes-a-saisir-partout-au-maroc/
Société de Construction Routière recrute un Responsable Matériel BTP à Salé,Société de Construction Routière,Salé,"Btp, Construction, Logistique",Non spécifié,Bac+5,5 ans,Non spécifié,Non specifié,Organisation,https://www.dreamjob.ma/emploi/societe-de-construction-routiere-recrute-un-responsable-materiel-btp-a-sale/
First Plastics recrute des Ingénieurs Commerciaux à Casablanca,First Plastics,Casablanca,Construction,CDI,Non spécifié,Non spécifié,Non spécifié,Non specifié,Rigueur,https://www.dreamjob.ma/emploi/first-plastics-recrute-des-ingenieurs-commerciaux-a-casablanca/
Ingénieurs maintenance recherchés chez SEBN Bouknadel,Non spécifié,Salé,Automobile,CDI,Non spécifié,5 ans,Automatisme,Non specifié,"Communication, Organisation, Résolution de problèmes, Travailler en équipe",https://www.dreamjob.ma/emploi/ingenieurs-maintenance-recherches-chez-sebn-bouknadel/
Ingénieurs recherchés par Stellantis à Kénitra,Non spécifié,Kénitra,"Automobile, Logistique",Non spécifié,Bac+5,3 à 5 ans,SAP,"Français, Anglais","Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/ingenieurs-recherches-par-stellantis-a-kenitra/
SEGULA recherche des ingénieurs et techniciens débutants,Non spécifié,Casablanca,"Automobile, Aéronautique, Ferroviaire, Énergie",Stage,Bac+2,Non spécifié,Non spécifié,Non specifié,"Communication, Innovation, Rigueur",https://www.dreamjob.ma/emploi/segula-recherche-des-ingenieurs-et-techniciens-debutants/
Opportunités chez MTA Morocco pour ingénieurs automobile,Non spécifié,Kénitra,"Automobile, Procédés",Non spécifié,Bac+5,2 ans,"Autocad, CAO, SAP, SOLIDWORKS",Non specifié,"Organisation, Rigueur",https://www.dreamjob.ma/emploi/opportunites-chez-mta-morocco-pour-ingenieurs-automobile/
Nouvelle opportunité chez Ciments du Maroc pour ingénieurs juniors,Non spécifié,Non spécifié,Construction,Stage,Non spécifié,0 à 2 ans,CAO,"Français, Anglais","Communication, Innovation, Résolution de problèmes, Travail en équipe",https://www.dreamjob.ma/emploi/nouvelle-opportunite-chez-ciments-du-maroc-pour-ingenieurs-juniors/
Airbus Atlantic recrute Inspecteurs Qualité et Ingénieur PC&L,Airbus Atlantic,Casablanca,"Automobile, Aéronautique, Logistique",Non spécifié,Bac+2,3 ans,"Excel, SAP, VBA","Français, Anglais","Communication, Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/airbus-atlantic-recrute-inspecteurs-qualite-et-ingenieur-pcl/
Recrutement immédiat chez Robobat Maroc pour ingénieurs confirmés,Non spécifié,Casablanca,"Btp, Construction",CDI,Bac+5,Non spécifié,Modélisation,"Français, Anglais","Autonome, Communication, Organisation, Travail en équipe",https://www.dreamjob.ma/emploi/recrutement-immediat-chez-robobat-maroc-pour-ingenieurs-confirmes/
FEV North Africa recrute ingénieurs et techniciens en CDI,FEV North Africa,Casablanca,Automobile,CDI,Non spécifié,0 à 2 ans,Non spécifié,"Français, Anglais","Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/fev-north-africa-recrute-ingenieurs-et-techniciens-en-cdi/
First Plastics recrute 3 ingénieurs technico-commerciaux à Casablanca,First Plastics,Casablanca,Non spécifié,CDI,Bac+5,Non spécifié,Excel,Non specifié,"Autonomie, Communication, Initiative, Relationnel",https://www.dreamjob.ma/emploi/first-plastics-recrute-3-ingenieurs-technico-commerciaux-a-casablanca/
Ingénieurs automobile – Bertrandt recrute dès maintenant,Ingénieurs automobile – Bertrandt,Non spécifié,"Automobile, Aéronautique, Logistique",Non spécifié,Bac+5,Non spécifié,CATIA,Anglais,"Autonomie, Communication, Organisation, Rigueur",https://www.dreamjob.ma/emploi/ingenieurs-automobile-bertrandt-recrute-des-maintenant/
SCIF recrute – opportunités en maintenance et ingénierie,SCIF,Non spécifié,Construction,Non spécifié,Bac+5,5 ans,"Autocad, Excel, Ms project",Non specifié,"Communication, Gestion de projet, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/scif-recrute-opportunites-en-maintenance-et-ingenierie/
Akwel El Jadida recrute des ingénieurs en production et maintenance,Akwel El Jadida,El jadida,"Automobile, Logistique",CDI,Non spécifié,Non spécifié,Non spécifié,Non specifié,Organisation,https://www.dreamjob.ma/emploi/akwel-el-jadida-recrute-des-ingenieurs-en-production-et-maintenance/
SEGULA Technologies lance un recrutement pour concepteurs mécaniques,Non spécifié,Casablanca,"Automobile, Aéronautique, Ferroviaire, Énergie",Non spécifié,Non spécifié,2 à 3 ans,"CAO, CATIA, Conception mécanique, Modélisation",Anglais,"Communication, Innovation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/segula-technologies-lance-un-recrutement-pour-concepteurs-mecaniques/
"Mubea Maroc recrute techniciens, ingénieurs et plus – postulez dès aujourd’hui !",Mubea Maroc,Tanger,"Automobile, Procédés",CDI,Non spécifié,1 à 2 ans,Robotique,Non specifié,"Autonomie, Innovation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/mubea-maroc-recrute-techniciens-ingenieurs-et-plus-postulez-des-aujourdhui/
SEGULA Technologies recrute à Casablanca: des ingénieurs recherchés,SEGULA Technologies,Casablanca,"Automobile, Aéronautique, Ferroviaire",CDI,Non spécifié,3 ans,AMDEC,Non specifié,Innovation,https://www.dreamjob.ma/emploi/segula-technologies-recrute-a-casablanca-des-ingenieurs-recherches/
Ingénieur ou expert digital ? RMA vous ouvre ses portes à Casablanca,Ingénieur ou expert digital ? RMA vous,Casablanca,Non spécifié,Non spécifié,Bac+5,3 à 5 ans,Non spécifié,Non specifié,"Communication, Innovation, Rigueur",https://www.dreamjob.ma/emploi/ingenieur-ou-expert-digital-rma-vous-ouvre-ses-portes-a-casablanca/
SEGULA Technologies recrute des concepteurs mécaniques à Casablanca,SEGULA Technologies,Casablanca,"Automobile, Aéronautique, Ferroviaire, Énergie",Non spécifié,Non spécifié,2 à 3 ans,"CATIA, Conception mécanique, Modélisation",Anglais,"Communication, Créativité, Innovation",https://www.dreamjob.ma/emploi/segula-technologies-recrute-des-concepteurs-mecaniques-a-casablanca/
Aptiv Maroc recrute: ingénieurs et techniciens pour l’industrie automobile,Aptiv Maroc,Non spécifié,"Automobile, Procédés",Non spécifié,Bac+2,1 ans,"Automatisme, Robotique","Français, Anglais","Communication, Gestion de projet, Innovation, Leadership, Résolution de problèmes",https://www.dreamjob.ma/emploi/aptiv-maroc-recrute-ingenieurs-et-techniciens-pour-lindustrie-automobile/
"Safran Maroc recrute: acheteur, technicien et ingénieur à Casablanca et Rabat",Safran Maroc,Casablanca,"Automobile, Aéronautique",Non spécifié,Bac+5,7 ans,"CATIA, ERP, Excel, Modélisation, Python, RDM, VBA","Français, Anglais","Adaptabilité, Autonomie, Communication, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/safran-maroc-recrute-acheteur-technicien-et-ingenieur-a-casablanca-et-rabat/
BTP CONSULTING recrute à Tétouan: 11 postes d’ingénieurs à pourvoir,BTP CONSULTING,Tétouan,"Btp, Procédés",CDI,Non spécifié,2 ans,Autocad,Non specifié,Autonome,https://www.dreamjob.ma/emploi/btp-consulting-recrute-a-tetouan-11-postes-dingenieurs-a-pourvoir/
"AVANTA Maroc recrute pour Abu Dhabi: superviseurs, ingénieurs et chefs de projet",AVANTA Maroc,Non spécifié,Logistique,Intérim,Non spécifié,3 ans,"ANSYS, CAO, Creo, GMAO, Lean, SAP, Six sigma",Arabe,"Gestion de projet, Rigueur",https://www.dreamjob.ma/emploi-international/avanta-maroc-recrute-pour-abu-dhabi-superviseurs-ingenieurs-et-chefs-de-projet/
"Ingénierie, qualité, supply chain: TE Connectivity propose des opportunités variées à Tanger",Non spécifié,Tanger,"Automobile, Aéronautique, Énergie",CDI,Non spécifié,2 ans,"APQP, ERP, PPAP, SAP, SPC","Français, Anglais","Autonome, Communication, Innovation, Organisation",https://www.dreamjob.ma/emploi/ingenierie-qualite-supply-chain-te-connectivity-propose-des-opportunites-variees-a-tanger/
SIDEN recrute: 8 postes à saisir dans la construction métallique et l’ingénierie au Maroc,SIDEN,Non spécifié,Construction,Non spécifié,Bac+2,Non spécifié,"Autocad, CAO, SOLIDWORKS",Non specifié,"Autonomie, Innovation, Rigueur",https://www.dreamjob.ma/emploi/siden-recrute-8-postes-a-saisir-dans-la-construction-metallique-et-lingenierie-au-maroc/
"Proma Group recrute à Kénitra: ingénieur, comptable, stagiaires… plusieurs postes ouverts !",Proma Group,Kénitra,Automobile,Stage,Bac+2,5 ans,"SAP, SQL",Anglais,Innovation,https://www.dreamjob.ma/emploi/proma-group-recrute-a-kenitra-ingenieur-comptable-stagiaires-plusieurs-postes-ouverts/
Smart Composite Company recrute 3 ingénieurs juniors pour ses chantiers à El Jadida,Smart Composite Company,El jadida,"Agroalimentaire, Chimie, Procédés",Stage,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Autonomie, Initiative, Innovation, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/smart-composite-company-recrute-3-ingenieurs-juniors-pour-ses-chantiers-a-el-jadida/
Ingénieur ou commercial? Deux postes clés à pourvoir chez International Paper Casablanca,Non spécifié,Casablanca,Procédés,Non spécifié,Bac+5,2 ans,"Lean, Six sigma","Français, Anglais",Rigueur,https://www.dreamjob.ma/emploi/ingenieur-ou-commercial-deux-postes-cles-a-pourvoir-chez-international-paper-casablanca/
